2013-03-23 17:44:04.455535|INFO    |              |   | TeamSpeak 3 Client 3.0.10 (2013-02-27 15:08:47)
2013-03-23 17:44:04.463330|DEBUG   |PulseAudio    |   | connected to pulse audio server
2013-03-23 17:44:04.481032|INFO    |Query         |   | listening on 127.0.0.1:25639
2013-03-23 17:44:04.824276|INFO    |ClientUI      |   | Failed to init text to speech engine
2013-03-23 17:44:04.824438|INFO    |ClientUI      |   | Qt version: 4.8.3
2013-03-23 17:44:04.824482|INFO    |ClientUI      |   | Using configuration location: /home/guillo_e/.ts3client/settings.db
2013-03-23 17:44:05.320047|INFO    |ClientUI      |   | Last update check was: Sat Mar 23 14:54:52 2013
2013-03-23 17:44:08.322231|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-23 17:44:08.325110|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-23 17:44:08.325271|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-23 17:44:08.364642|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-03-23 17:44:08.706006|INFO    |PreProSpeex   |  1| Speex version: 1.2rc1
2013-03-23 17:44:08.706753|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-23 17:44:08.708877|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-23 17:44:08.816210|INFO    |ClientUI      |  1| Connect status: Connected
2013-03-23 17:44:08.838748|INFO    |ClientUI      |  1| Connect status: Establishing connection
2013-03-23 17:44:08.883466|INFO    |ClientUI      |  1| Connect status: Connection established
2013-03-23 17:44:08.884601|INFO    |PermManager   |   | Loading permissions from cache
2013-03-23 18:06:56.174934|WARNING |SCHandler     |  1| Got command data while disconnected, dropping
2013-03-23 18:06:56.175078|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-23 18:06:56.177399|INFO    |ClientUI      |  1| Connection lost, want autoreconnect = 1
2013-03-23 18:06:56.318058|INFO    |Bookmarks     |   | Disconnect, total time: 1367 - 36786
2013-03-23 18:06:57.318343|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-23 18:06:57.318486|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-23 18:06:57.319302|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-23 18:06:57.319359|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-23 18:06:57.321140|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-23 18:06:57.321216|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-23 18:06:57.537408|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-23 18:07:03.187698|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-23 18:07:03.189154|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-03-23 18:07:04.189955|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-23 18:07:04.190075|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-23 18:07:04.191063|INFO    |ClientUI      |  1| Blacklist check ok
