2013-04-28 16:01:06.378901|INFO    |              |   | TeamSpeak 3 Client 3.0.10.1 (2013-04-04 08:33:04)
2013-04-28 16:01:06.883735|DEBUG   |PulseAudio    |   | connected to pulse audio server
2013-04-28 16:01:06.905439|INFO    |Query         |   | listening on 127.0.0.1:25639
2013-04-28 16:01:07.172288|INFO    |              |   | *** Time [MAINWINDOW]: 110
2013-04-28 16:01:07.172498|INFO    |              |   | *** Time [INIT]: 110
2013-04-28 16:01:07.178286|INFO    |ClientUI      |   | Failed to init text to speech engine
2013-04-28 16:01:07.178460|INFO    |ClientUI      |   | Qt version: 4.8.3
2013-04-28 16:01:07.178508|INFO    |ClientUI      |   | Using configuration location: /home/guillo_e/.ts3client/settings.db
2013-04-28 16:01:07.672676|INFO    |ClientUI      |   | Last update check was: Sun Apr 28 15:49:07 2013
2013-04-28 16:02:42.846516|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-04-28 16:02:42.847399|INFO    |ClientUI      |  1| Blacklist check ok
2013-04-28 16:02:42.847437|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-04-28 16:02:42.914386|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-04-28 16:02:43.143825|INFO    |PreProSpeex   |  1| Speex version: 1.2rc1
2013-04-28 16:02:43.144634|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-04-28 16:02:43.147699|INFO    |ClientUI      |  1| Connect status: Connecting
2013-04-28 16:02:43.231803|INFO    |ClientUI      |  1| Connect status: Connected
2013-04-28 16:02:43.395668|INFO    |ClientUI      |  1| Connect status: Establishing connection
2013-04-28 16:02:43.440411|INFO    |ClientUI      |  1| Connect status: Connection established
2013-04-28 16:02:43.440936|INFO    |PermManager   |   | Loading permissions from cache
2013-04-28 20:11:08.805444|WARNING |SCHandler     |  1| Got command data while disconnected, dropping
2013-04-28 20:11:08.805579|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-04-28 20:11:08.807210|INFO    |ClientUI      |  1| Connection lost, want autoreconnect = 1
2013-04-28 20:11:08.957150|INFO    |Bookmarks     |   | Disconnect, total time: 14905 - 301549
2013-04-28 20:11:09.957393|INFO    |ClientUI      |  1| Autoreconnecting
2013-04-28 20:11:09.957614|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-04-28 20:11:09.961414|INFO    |ClientUI      |  1| Blacklist check ok
2013-04-28 20:11:09.961583|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-04-28 20:11:09.962749|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-04-28 20:11:10.188542|INFO    |ClientUI      |  1| Connect status: Connecting
2013-04-28 20:11:15.811985|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-04-28 20:11:15.813044|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-04-28 20:11:16.813701|INFO    |ClientUI      |  1| Autoreconnecting
2013-04-28 20:11:16.813837|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-04-28 20:11:16.815329|INFO    |ClientUI      |  1| Blacklist check ok
2013-04-28 20:11:16.815392|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-04-28 20:11:16.817427|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-04-28 20:11:17.058329|INFO    |ClientUI      |  1| Connect status: Connecting
2013-04-28 20:11:22.718382|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-04-28 20:11:22.719957|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-04-28 20:11:23.720790|INFO    |ClientUI      |  1| Autoreconnecting
2013-04-28 20:11:23.720942|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-04-28 20:11:23.722474|INFO    |ClientUI      |  1| Blacklist check ok
2013-04-28 20:11:23.722538|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-04-28 20:11:23.723821|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-04-28 20:11:23.962594|INFO    |ClientUI      |  1| Connect status: Connecting
2013-04-28 20:11:29.626138|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-04-28 20:11:29.627153|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-04-28 20:11:30.627658|INFO    |ClientUI      |  1| Autoreconnecting
