2013-03-25 10:53:20.439281|INFO    |              |   | TeamSpeak 3 Client 3.0.10 (2013-02-27 15:08:47)
2013-03-25 10:53:20.927054|DEBUG   |PulseAudio    |   | connected to pulse audio server
2013-03-25 10:53:20.945140|INFO    |Query         |   | listening on 127.0.0.1:25639
2013-03-25 10:53:21.347994|INFO    |              |   | *** Time [MAINWINDOW]: 110
2013-03-25 10:53:21.348206|INFO    |              |   | *** Time [INIT]: 110
2013-03-25 10:53:21.353389|INFO    |ClientUI      |   | Failed to init text to speech engine
2013-03-25 10:53:21.353566|INFO    |ClientUI      |   | Qt version: 4.8.3
2013-03-25 10:53:21.353619|INFO    |ClientUI      |   | Using configuration location: /home/guillo_e/.ts3client/settings.db
2013-03-25 10:53:21.848397|INFO    |ClientUI      |   | Last update check was: Mon Mar 25 09:16:56 2013
2013-03-25 10:53:25.045724|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 10:53:25.046996|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 10:53:25.047091|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 10:53:25.086468|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-03-25 10:53:25.296899|INFO    |PreProSpeex   |  1| Speex version: 1.2rc1
2013-03-25 10:53:25.302736|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 10:53:30.302663|INFO    |ClientUI      |   | Blacklist check timeout
2013-03-25 10:53:30.977666|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-25 10:53:30.978775|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 0
2013-03-25 11:06:18.327258|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 11:06:18.328210|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 11:06:18.328267|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 11:06:18.378723|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-03-25 11:06:18.573993|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 11:06:23.573979|INFO    |ClientUI      |   | Blacklist check timeout
2013-03-25 11:06:24.240182|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-25 11:06:24.241362|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 0
2013-03-25 11:18:31.691401|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 11:18:31.692701|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 11:18:31.692793|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 11:18:31.871821|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-03-25 11:18:31.990052|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 11:18:32.025038|INFO    |ClientUI      |  1| Connect status: Connected
2013-03-25 11:18:32.124298|INFO    |ClientUI      |  1| Connect status: Establishing connection
