2013-03-18 13:39:53.675390|INFO    |              |   | TeamSpeak 3 Client 3.0.9.2 (2012-10-29 10:00:43)
2013-03-18 13:39:53.682683|DEBUG   |PulseAudio    |   | connected to pulse audio server
2013-03-18 13:39:53.702437|INFO    |Query         |   | listening on 127.0.0.1:25639
2013-03-18 13:39:54.021392|INFO    |              |   | *** Time [MAINWINDOW]: 130
2013-03-18 13:39:54.021828|INFO    |              |   | *** Time [INIT]: 130
2013-03-18 13:39:54.029151|INFO    |ClientUI      |   | Failed to init text to speech engine
2013-03-18 13:39:54.029312|INFO    |ClientUI      |   | Qt version: 4.7.2
2013-03-18 13:39:54.029369|INFO    |ClientUI      |   | Using configuration location: /home/guillo_e/.ts3client/settings.db
2013-03-18 13:39:54.521739|INFO    |ClientUI      |   | Last update check was: Mon Mar 18 10:42:16 2013
2013-03-18 13:39:57.389286|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-18 13:39:57.391173|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-18 13:39:57.391303|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-18 13:39:57.436307|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-03-18 13:39:57.746696|INFO    |PreProSpeex   |  1| Speex version: 1.2rc1
2013-03-18 13:39:57.747506|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:39:57.750335|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-18 13:39:57.808142|INFO    |ClientUI      |  1| Connect status: Connected
2013-03-18 13:39:57.828496|INFO    |ClientUI      |  1| Connect status: Establishing connection
2013-03-18 13:39:57.849430|INFO    |ClientUI      |  1| Connect status: Connection established
2013-03-18 13:48:03.267178|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:48:13.652088|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:48:13.653952|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:48:21.208581|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:49:13.211161|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:49:18.224319|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 13:52:31.987311|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-18 14:04:30.512742|WARNING |SCHandler     |  1| Got command data while disconnected, dropping
2013-03-18 14:04:30.513960|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-18 14:04:30.515709|INFO    |ClientUI      |  1| Connection lost, want autoreconnect = 1
2013-03-18 14:04:30.639893|INFO    |Bookmarks     |   | Disconnect, total time: 1472 - 3822
2013-03-18 14:04:31.640506|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-18 14:04:31.640653|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-18 14:04:31.641245|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-18 14:04:31.641281|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-18 14:04:31.863551|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-18 14:04:36.644377|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-18 14:04:36.644541|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-18 14:04:37.519169|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-18 14:04:37.520526|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-03-18 14:04:38.521265|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-18 14:04:38.521396|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-18 14:04:38.522264|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-18 14:04:38.522356|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-18 14:04:38.524366|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-18 14:04:38.524491|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-18 14:04:38.762372|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-18 14:04:44.426516|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-18 14:04:44.432981|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-03-18 14:04:45.433509|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-18 14:04:45.433626|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-18 14:04:45.434367|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-18 14:04:45.434436|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-18 14:04:45.436221|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-18 14:04:45.436323|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-18 14:04:45.662005|INFO    |ClientUI      |  1| Connect status: Connecting
