2013-03-25 09:24:22.613719|INFO    |              |   | TeamSpeak 3 Client 3.0.10 (2013-02-27 15:08:47)
2013-03-25 09:24:22.620774|DEBUG   |PulseAudio    |   | connected to pulse audio server
2013-03-25 09:24:22.645244|INFO    |Query         |   | listening on 127.0.0.1:25639
2013-03-25 09:24:22.916409|INFO    |              |   | *** Time [MAINWINDOW]: 120
2013-03-25 09:24:22.916631|INFO    |              |   | *** Time [INIT]: 120
2013-03-25 09:24:22.922701|INFO    |ClientUI      |   | Failed to init text to speech engine
2013-03-25 09:24:22.922910|INFO    |ClientUI      |   | Qt version: 4.8.3
2013-03-25 09:24:22.922971|INFO    |ClientUI      |   | Using configuration location: /home/guillo_e/.ts3client/settings.db
2013-03-25 09:24:23.416948|INFO    |ClientUI      |   | Last update check was: Mon Mar 25 09:16:56 2013
2013-03-25 09:24:28.003556|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 09:24:28.005551|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 09:24:28.005689|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 09:24:28.006830|INFO    |              |   | DNS resolve successful, "blacklist.teamspeak.com"=176.9.148.78
2013-03-25 09:24:28.330054|INFO    |PreProSpeex   |  1| Speex version: 1.2rc1
2013-03-25 09:24:28.330877|DEBUG   |PulseAudio    |   | Underflow occurred on device ts3.pa.dummy.playbackdefault
2013-03-25 09:24:28.333022|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 09:24:28.355322|INFO    |ClientUI      |  1| Connect status: Connected
2013-03-25 09:24:28.458117|INFO    |ClientUI      |  1| Connect status: Establishing connection
2013-03-25 09:24:28.464972|INFO    |ClientUI      |  1| Connect status: Connection established
2013-03-25 09:24:28.465702|INFO    |PermManager   |   | Loading permissions from cache
2013-03-25 09:56:17.046768|WARNING |SCHandler     |  1| Got command data while disconnected, dropping
2013-03-25 09:56:17.047636|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-25 09:56:17.049177|INFO    |ClientUI      |  1| Connection lost, want autoreconnect = 1
2013-03-25 09:56:17.211983|INFO    |Bookmarks     |   | Disconnect, total time: 1908 - 94129
2013-03-25 09:56:18.212152|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-25 09:56:18.212598|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 09:56:18.214276|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 09:56:18.214389|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 09:56:18.215948|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-25 09:56:18.216030|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-25 09:56:18.468958|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 09:56:24.155130|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-25 09:56:24.156018|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-03-25 09:56:25.156792|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-25 09:56:25.156918|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 09:56:25.158544|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 09:56:25.158606|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 09:56:25.160389|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-25 09:56:25.160450|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-25 09:56:25.397940|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 09:56:31.061637|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-25 09:56:31.062924|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-03-25 09:56:32.063580|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-25 09:56:32.063693|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 09:56:32.064444|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 09:56:32.064522|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 09:56:32.066944|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-25 09:56:32.067034|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
2013-03-25 09:56:32.300908|INFO    |ClientUI      |  1| Connect status: Connecting
2013-03-25 09:56:37.968833|INFO    |ClientUI      |  1| Connect status: Disconnected
2013-03-25 09:56:37.969639|INFO    |ClientUI      |  1| Failed to connect to server, want autoreconnect = 1
2013-03-25 09:56:38.970405|INFO    |ClientUI      |  1| Autoreconnecting
2013-03-25 09:56:38.970538|INFO    |ClientUI      |  1| Connect to server: 62.210.250.140
2013-03-25 09:56:38.971724|INFO    |ClientUI      |  1| Blacklist check ok
2013-03-25 09:56:38.971862|INFO    |ClientUI      |  1| Initiating connection: 62.210.250.140:36395 62.210.250.140
2013-03-25 09:56:38.973129|WARNING |              |   |  getaddrinfo error: Name or service not known
2013-03-25 09:56:38.973211|INFO    |              |   | DNS resolve unsuccessful for "blacklist.teamspeak.com"
